,Name,Partisan,State,Date,Trump,Clinton,Other,Undecided
0,2016 Missouri President: Trump vs. Clinton,Nonpartisan,MO,2016-08-22,44.0,43.0,5.0,0.0
0,2016 Missouri President: Trump vs. Clinton,Sponsor,MO,2016-08-09,45.0,42.0,13.0,0.0
0,2016 Missouri President: Trump vs. Clinton,Nonpartisan,MO,2016-07-24,40.0,41.0,1.0,9.0
0,2016 Missouri President: Trump vs. Clinton,Nonpartisan,MO,2016-07-24,47.0,37.0,8.0,7.0
0,2016 Missouri President: Trump vs. Clinton,Pollster,MO,2016-07-12,46.0,36.0,1.0,10.0
0,2016 Missouri President: Trump vs. Clinton,Pollster,MO,2016-07-12,50.0,40.0,10.0,0.0
0,2016 Missouri President: Trump vs. Clinton,Sponsor,MO,2016-03-24,40.0,42.0,8.0,11.0
0,2016 Missouri President: Trump vs. Clinton,Nonpartisan,MO,2016-03-10,43.0,38.0,19.0,0.0
0,2016 Missouri President: Trump vs. Clinton,Pollster,MO,2015-08-09,48.0,39.0,0.0,13.0
0,2016 Maryland President: Trump vs. Clinton,Pollster,MD,2016-04-17,28.0,61.0,0.0,11.0
0,2016 Maryland President: Trump vs. Clinton,Nonpartisan,MD,2016-04-09,27.0,63.0,0.0,10.0
0,2016 Maryland President: Trump vs. Clinton,Nonpartisan,MD,2016-04-03,28.0,63.0,1.0,0.0
0,2016 Michigan President: Trump vs. Clinton,Nonpartisan,MI,2016-08-24,37.0,44.0,1.0,10.0
0,2016 Michigan President: Trump vs. Clinton,Nonpartisan,MI,2016-08-04,36.0,46.0,17.0,0.0
0,2016 Michigan President: Trump vs. Clinton,Nonpartisan,MI,2016-08-04,32.0,43.0,14.0,0.0
0,2016 Michigan President: Trump vs. Clinton,Nonpartisan,MI,2016-08-01,32.0,41.0,1.0,14.0
0,2016 Michigan President: Trump vs. Clinton,Pollster,MI,2016-07-11,34.0,40.0,0.0,27.0
0,2016 Michigan President: Trump vs. Clinton,Pollster,MI,2016-07-15,29.0,34.0,3.0,0.0
0,2016 Michigan President: Trump vs. Clinton,Nonpartisan,MI,2016-07-15,39.0,42.0,0.0,0.0
0,2016 Michigan President: Trump vs. Clinton,Nonpartisan,MI,2016-07-08,41.0,48.0,11.0,0.0
0,2016 Michigan President: Trump vs. Clinton,Nonpartisan,MI,2016-07-08,34.0,37.0,26.0,0.0
0,2016 Michigan President: Trump vs. Clinton,Sponsor,MI,2016-06-20,39.0,50.0,6.0,0.0
0,2016 Michigan President: Trump vs. Clinton,Sponsor,MI,2016-06-20,33.0,48.0,3.0,0.0
0,2016 Michigan President: Trump vs. Clinton,Nonpartisan,MI,2016-05-26,39.0,43.0,3.0,12.0
0,2016 Michigan President: Trump vs. Clinton,Nonpartisan,MI,2016-05-26,33.0,37.0,2.0,0.0
0,2016 Michigan President: Trump vs. Clinton,Nonpartisan,MI,2016-03-22,37.0,47.0,0.0,16.0
0,2016 Arizona President: Trump vs. Clinton,Sponsor,AZ,2016-08-28,46.0,43.0,11.0,0.0
0,2016 Arizona President: Trump vs. Clinton,Pollster,AZ,2016-08-27,39.0,40.0,1.0,13.0
0,2016 Arizona President: Trump vs. Clinton,Nonpartisan,AZ,2016-08-23,49.0,44.0,0.0,0.0
0,2016 Arizona President: Trump vs. Clinton,Nonpartisan,AZ,2016-08-23,45.0,38.0,0.0,0.0
0,2016 Arizona President: Trump vs. Clinton,Nonpartisan,AZ,2016-08-05,44.0,42.0,0.0,0.0
0,2016 Arizona President: Trump vs. Clinton,Sponsor,AZ,2016-06-20,48.0,43.0,6.0,0.0
0,2016 Arizona President: Trump vs. Clinton,Sponsor,AZ,2016-06-20,45.0,39.0,4.0,0.0
0,2016 Arizona President: Trump vs. Clinton,Sponsor,AZ,2016-06-23,44.0,40.0,0.0,16.0
0,2016 Arizona President: Trump vs. Clinton,Pollster,AZ,2016-06-20,42.0,47.0,6.0,6.0
0,2016 Arizona President: Trump vs. Clinton,Pollster,AZ,2016-05-15,40.0,38.0,2.0,13.0
0,2016 Arizona President: Trump vs. Clinton,Pollster,AZ,2016-05-15,45.0,41.0,14.0,0.0
0,2016 Arizona President: Trump vs. Clinton,Nonpartisan,AZ,2016-04-11,35.0,42.0,0.0,23.0
0,2016 Arizona President: Trump vs. Clinton,Nonpartisan,AZ,2016-03-11,38.0,38.0,9.0,15.0
0,2016 Minnesota President: Trump vs. Clinton,Nonpartisan,MN,2016-01-20,38.0,43.0,0.0,19.0
0,2016 Minnesota President: Trump vs. Clinton,Nonpartisan,MN,2015-11-02,45.0,42.0,0.0,13.0
0,2016 Minnesota President: Trump vs. Clinton,Pollster,MN,2015-08-02,39.0,44.0,0.0,17.0
0,2016 Virginia President: Trump vs. Clinton,Nonpartisan,VA,2016-08-28,41.0,43.0,16.0,0.0
0,2016 Virginia President: Trump vs. Clinton,Nonpartisan,VA,2016-08-17,32.0,48.0,9.0,0.0
0,2016 Virginia President: Trump vs. Clinton,Nonpartisan,VA,2016-08-17,36.0,55.0,9.0,0.0
0,2016 Virginia President: Trump vs. Clinton,Nonpartisan,VA,2016-08-16,38.0,50.0,8.0,0.0
0,2016 Virginia President: Trump vs. Clinton,Nonpartisan,VA,2016-08-16,34.0,45.0,5.0,0.0
0,2016 Virginia President: Trump vs. Clinton,Nonpartisan,VA,2016-08-14,43.0,51.0,1.0,0.0
0,2016 Virginia President: Trump vs. Clinton,Nonpartisan,VA,2016-08-14,39.0,46.0,1.0,0.0
0,2016 Virginia President: Trump vs. Clinton,Nonpartisan,VA,2016-08-10,33.0,46.0,1.0,9.0
0,2016 Virginia President: Trump vs. Clinton,Nonpartisan,VA,2016-08-10,31.0,43.0,1.0,9.0
0,2016 Virginia President: Trump vs. Clinton,Nonpartisan,VA,2016-08-05,37.0,49.0,0.0,0.0
0,2016 Virginia President: Trump vs. Clinton,Nonpartisan,VA,2016-07-27,46.0,42.0,5.0,0.0
