,Name,Partisan,State,Date,Trump,Clinton,Other,Undecided
0,2016 General Election: Fiorina vs. Clinton,Sponsor,US,2015-10-01,0.0,48.0,52.0,0.0
0,2016 General Election: Santorum vs. Clinton,Sponsor,US,2015-10-01,0.0,51.0,49.0,0.0
0,2016 General Election: Huckabee vs. Clinton,Sponsor,US,2015-10-01,0.0,50.0,50.0,0.0
0,2016 General Election: Christie vs. Clinton,Sponsor,US,2015-10-01,0.0,48.0,52.0,0.0
0,2016 General Election: Kasich vs. Clinton,Sponsor,US,2015-10-01,0.0,48.0,52.0,0.0
0,2016 General Election: Bush vs. Clinton,Sponsor,US,2015-08-22,0.0,49.0,51.0,0.0
0,2016 General Election: Trump vs. Clinton,Sponsor,US,2015-08-22,54.0,46.0,0.0,0.0
0,2016 General Election: Walker vs. Clinton,Sponsor,US,2015-08-22,0.0,52.0,48.0,0.0
0,2016 General Election: Rubio vs. Clinton,Sponsor,US,2015-08-22,0.0,50.0,50.0,0.0
0,2016 General Election: Paul vs. Clinton,Sponsor,US,2015-08-22,0.0,50.0,50.0,0.0
0,2016 General Election: Cruz vs. Clinton,Sponsor,US,2015-08-22,0.0,51.0,49.0,0.0
0,2016 General Election: Carson vs. Clinton,Sponsor,US,2015-08-22,0.0,48.0,52.0,0.0
0,2016 General Election: Fiorina vs. Clinton,Sponsor,US,2015-08-22,0.0,50.0,50.0,0.0
0,2016 General Election: Huckabee vs. Clinton,Sponsor,US,2015-08-22,0.0,51.0,49.0,0.0
0,2016 General Election: Santorum vs. Clinton,Sponsor,US,2015-08-22,0.0,51.0,49.0,0.0
0,2016 General Election: Christie vs. Clinton,Sponsor,US,2015-08-22,0.0,50.0,50.0,0.0
0,2016 General Election: Kasich vs. Clinton,Sponsor,US,2015-08-22,0.0,48.0,52.0,0.0
0,2016 General Election: Rubio vs. Clinton,Nonpartisan,US,2015-07-28,0.0,47.0,42.0,10.0
